codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;EMEB Irmã Maria Betty de Souza Pires;;;;;em_atividade;-15.578762;-56.039288;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.648508;-56.096962;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.665351;-56.092783;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;SENAI Várzea Grande;Várzea Grande;5108402;;;em_atividade;-15.638383;-56.104191;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Mercedes de Paula Sôda;;;;;em_atividade;-15.650662;-56.155889;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Porfiria Paula De Campos;;;;;em_atividade;-15.651320;-56.173044;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Prof. Arlete Maria Da Silva;;;;;em_atividade;-15.654076;-56.176093;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Ranulpho Paes De Barros;;;;;em_atividade;-15.599213;-56.134004;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professor Zeferino Leite de Oliveira;;;;;em_atividade;-15.635818;-55.946187;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;caic;;;;;em_atividade;-15.630460;-55.958311;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CEIC Jean Carlos Pinho Santos;Cuiabá;5103403;;;em_atividade;-15.629914;-55.958110;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Apolônio Frutuoso Da Silva;;;;;em_atividade;-15.631095;-56.102173;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Cel. Octayde Jorge Da Silva;Cuiabá;5103403;;;em_atividade;-15.572077;-56.050852;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Ten. Octacílio Sebastião Da Cruz;Cuiabá;5103403;;;em_atividade;-15.569849;-56.041918;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Nevio Lotufo;Cuiabá;5103403;;;em_atividade;-15.562601;-56.060043;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Ângela Jardim Botelho;;;;;em_atividade;-15.661209;-56.153469;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Governador Dante Martins de Oliveira;Várzea Grande;5108402;government;;em_atividade;-15.627428;-56.185806;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Armindo de Arruda Campos;;;;;em_atividade;-15.675518;-56.130999;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Gonçalo Botelho De Campos;;;;;em_atividade;-15.679471;-56.122730;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Emanoel Benedito De Arruda;;;;;em_atividade;-15.682032;-56.121545;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Prof. Fernando Leite De Campos;;;;;em_atividade;-15.653191;-56.138123;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Jornalista Marcos Coutinho;;;;;em_atividade;-15.655406;-55.977403;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professora Clêinia Rosalina de Souza;;;;;em_atividade;-15.585885;-56.038235;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Irmãos do Caminho;;;;;em_atividade;-15.721870;-56.131755;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.666082;-56.180267;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Pio Machado;;;;;em_atividade;-15.200125;-56.366821;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.202798;-56.363427;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;C.E.J.A. Licinio Monteiro Da Silva;;;;;em_atividade;-15.646335;-56.124883;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Prof. Adalgisa De Barros;Várzea Grande;5108402;;;em_atividade;-15.650474;-56.127567;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Deputado Ubaldo Monteiro da Silva;;;public;;em_atividade;-15.639234;-56.174618;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Irene Gomes de Campos;;;;;em_atividade;-15.637531;-56.138306;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Manoel Cavalcanti Proença;;;;;em_atividade;-15.636078;-56.022624;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Padre João Panarotto;;;;;em_atividade;-15.563096;-56.032944;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professora Maria Hermínia Alves;;;;;em_atividade;-15.556320;-56.036823;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Rodolfo Augusto T. Curvo;;;;;em_atividade;-15.562458;-56.083333;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Zélia da Costa Almeida;;;;;em_atividade;-15.646466;-56.027860;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola de Ensino Básico e Profissional Fundação Bradesco;Cuiabá;5103403;charitable;;em_atividade;-15.533926;-56.073792;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Profa Gracildes Melo Dantas;;;;;em_atividade;-15.544108;-56.020037;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Liberdade;;;;;em_atividade;-15.608037;-55.995396;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Antônio Marcos Ruzzene Balbino;Cuiabá;5103403;;;em_atividade;-15.560246;-56.077069;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Prof. Firmo José Rodrigues;Cuiabá;5103403;;;em_atividade;-15.558036;-56.025696;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;CMEI Dante Martins de Oliveira;Cuiabá;5103403;;;em_atividade;-15.557613;-56.025487;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EE Professora Dione Augusta da Silva Souza;;;;;em_atividade;-15.559090;-56.041838;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
