codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510770120000014;5107701;Rosário Oeste;Rural;286.945;53;28;-14.533048;-55.135;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510770120000004;5107701;Rosário Oeste;Rural;355.15;34;35;-14.491349;-55.192492;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510770120000012;5107701;Rosário Oeste;Rural;502.7518;35;25;-14.414006;-55.366482;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510770120000007;5107701;Rosário Oeste;Rural;433.341;24;12;-14.331128;-54.932428;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510770120000013;5107701;Rosário Oeste;Rural;475.0652;36;17;-14.294741;-55.185312;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400171;5103403;Cuiabá;Urbana;0.0135;161;59;-15.560125;-56.055828;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400012;5103403;Cuiabá;Urbana;0.0305;191;126;-15.56305;-56.081856;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310400031;5103403;Cuiabá;Urbana;0.0463;440;178;-15.557071;-56.037996;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400013;5103403;Cuiabá;Urbana;0.0307;47;35;-15.563898;-56.081676;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305410253;5103403;Cuiabá;Urbana;0.0594;435;237;-15.544147;-56.081553;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
